file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_PC0155_0190_1127485_to_1131037,རྒྱལ་ས་ཕི་རི་སི་ལ་དེ་ནས་ཡིན་གཅིག་མིན་གཅིག་པར་གཅིག་རྒྱག་བཅུག་རོགས་ལབ་ཡིན། ཁོ་རང་།  ,rgyal sa phi ri si la de nas yin gcig min gcig par gcig rgyag bcug rogs lab yin/_kho rang /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_PC0155_0190_1127485_to_1131037.wav,STT_PC,3,82,3.552,wav16k/STT_PC0155_0190_1127485_to_1131037.wav,རྒྱལ་ས་ཕལ་རི་སི་ལ། དེ་ནས་ཡིན་གཅིག་མིན་གཅིག་པར་ཅིག་རྒྱག་བཅུག་རོགས་ལབ་ཡིན། ཁོ་རང་།
STT_PC0155_0217_1281626_to_1284698,རྩ་གྲངས་བྱས་སུམ་ཅུ་ཟིན་མ་ཟིན་ཅིག་ཡོད་ས་རེད་ཟེར། དེང་སང་ཞིབ་འཇུག་བྱེད་བསྡད་མྱི།  ,rtsa grangs byas sum cu zin ma zin cig yod sa red zer/_deng sang zhib 'jug byed bsdad myi/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_PC0155_0217_1281626_to_1284698.wav,STT_PC,3,80,3.072,wav16k/STT_PC0155_0217_1281626_to_1284698.wav,རྩ་གྲངས་ཅིག་སུམ་ཅུ་ཟིན་མ་ཟིན་ཅིག་ཡོད་ས་རེད་ཟེ། དེང་སང་ཞིབ་འཇུག་བྱེད་བསྡད་མྱི།
STT_PC0155_0228_1357854_to_1360734,ད་གིན་ཞུས་པ་ཡིན་པ། ཙི་ཙི་ལ་ཞིབ་འཇུག་ཅིག་བྱས་མྱོང་ཡོད་ཟེར་ཡ་ཅིག ,da gin zhus pa yin pa/_tsi tsi la zhib 'jug cig byas myong yod zer ya cig_,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_PC0155_0228_1357854_to_1360734.wav,STT_PC,3,63,2.88,wav16k/STT_PC0155_0228_1357854_to_1360734.wav,ད་གིན་ཞུས་པ་ཡིན་པ། ཙི་ཙི་ལ་ཞིབ་འཇུག་ཅིག་བྱས་མྱོང་ཡོད་ཟེར་ཡ་ཅིག
STT_MV0709_0197_1737436_to_1747117,ཟོག་ལ་བལྟ་རྒྱུ་སྒོ་ནས་དངམ་སྐྲག་ག་རེ་བྱེད་ཡ་འདུག ཨ་ཅག་དབྱིང་ཡིང་སྔོན་ལ་རྒྱུགས། ཨོ་ཡ། ཀླད་ཀོར་གཅིག ཟོག་ལེན་མྱི་འཛིན་བཟུང་བྱས་ཚར། ལམ་སང་བྱ་སྤྱོད་སྤེལ།  ,zog la blta rgyu sgo nas dngam skrag ga re byed ya 'dug_a cag dbying ying sngon la rgyugs/_o ya/_klad kor gcig_zog len myi 'dzin bzung byas tshar/_lam sang bya spyod spel/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0709_0197_1737436_to_1747117.wav,STT_MV,3,149,9.681,wav16k/STT_MV0709_0197_1737436_to_1747117.wav,ཟོག་ལ་ལྟ་རྒྱུ་སགོང་ནས་དངང་སྐྲག་ག་རེ་བྱེད་ཡ་འདུག ཨ་ཅག་ཡང་ཡིན། སྔོན་ལ་རྒྱུགས། ཡཡ། ལགས་པོར་གྱིས། ཟོག་ལེན་མྱི་འཛིན་བཟུང་བྱས་ཚར། ལམ་སང་བྱ་སྤྱོད་སྤུལ།
STT_MV0709_0223_1968906_to_1973675,དངངས་སྐྲག་ག་རེ་བྱེད་དགོས་རེད། ངས་རྐང་བཙུགས་ནས་བྱས་མེད། བྱས་ན་གང་འདྲས་སེ་བཤད་བརྩིས་ཡོད།  ,dngangs skrag ga re byed dgos red/_ngas rkang btsugs nas byas med/_byas na gang 'dras se bshad brtsis yod/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0709_0223_1968906_to_1973675.wav,STT_MV,3,88,4.769,wav16k/STT_MV0709_0223_1968906_to_1973675.wav,དངངས་སྐྲག་ག་རེ་བྱེད་དགོས་རེད། ངས་རྐང་ཟི་ནས་བྱས་མེད། བྱས་ན་ག་འདྲས་སེ་བཤད་རྩིས་ཡོད།
STT_MV0092_0326_2245195_to_2253880,ཝང་ཁྲའོ། རང་གིས་ཁོང་ཚོ་ཁྲིད་བྱས་སྔོན་ལ་མཁར་གྲོང་ནང་རྒྱུགས་ཤིག དམག་དཔོན་ཤེ་ལགས། ང་ཚོ་ཐེད་དོ། མཁར་གྲོང་ནང་འཛུལ། ཆོ།  ,wang khra'o/_rang gis khong tsho khrid byas sngon la mkhar grong nang rgyugs shig_dmag dpon she lags/_nga tsho thed do/_mkhar grong nang 'dzul/_cho/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0092_0326_2245195_to_2253880.wav,STT_MV,3,115,8.685,wav16k/STT_MV0092_0326_2245195_to_2253880.wav,ཝང་ཁྲའོ། རང་གིས་ཁོང་ཚོ་ཁྲིད་བྱས་སྔན་ལ་མཁར་གྲོང་ནང་རྒྱུགས་ཤིག དམག་དཔོན་ཆིན་ལགས་ང་ཚོ་ཐེད་དོ། མཁ་སྐྲོན་ནང་འཛུལ། ཆོ།
STT_MV0092_0329_2284433_to_2285801,འདི་ག་བར་རེད།  ,'di ga bar red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0092_0329_2284433_to_2285801.wav,STT_MV,3,15,1.368,wav16k/STT_MV0092_0329_2284433_to_2285801.wav,དེ་ག་བར་རེད།
STT_MV0092_0332_2296836_to_2304224,སྐུ་ངོ་སྲུང་སྐྱོབ་གྱིས། ལགས་སོ། ཤོག་ད།  ,sku ngo srung skyob gyis/_lags so/_shog da/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0092_0332_2296836_to_2304224.wav,STT_MV,3,40,7.388,wav16k/STT_MV0092_0332_2296836_to_2304224.wav,སྐུ་ངོ་ལ་སྲུག་སྐྱོབ་གྱིས། ལགས་སོ། ཤོད་ད།
STT_MV0709_0214_1907599_to_1915998,སྐབས་དེ་དུས་ང་ཚོས་འབར་གས་བྱེད་ས་ནས། མོ་རང་གི་ཚིགས་ཁེབས་དང་། གཟུགས་པའི་སྒང་གི་ཁབ་བཙག་ཆ་ཤས་ཤིག་མཐོང་བྱུང་། རྗེས་ལ་ང་ཚོས་ཀྲང་གཡིང་དུག་ཚོང་ཚོགས་པ་མེད་པ་བཟོས་པ་རེད།  ,skabs de dus nga tshos 'bar gas byed sa nas/_mo rang gi tshigs khebs dang /_gzugs pa'i sgang gi khab btsag cha shas shig mthong byung /_rjes la nga tshos krang g.ying dug tshong tshogs pa med pa bzos pa red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0709_0214_1907599_to_1915998.wav,STT_MV,3,161,8.399,wav16k/STT_MV0709_0214_1907599_to_1915998.wav,སྐབས་དེ་དུས་ང་ཚོས་འབར་གས་བྱེད་ས་ནས་མོ་རང་གི་ཚིགས་ཁོབ་དང་གཟུགས་པོའི་སྒང་གི་ཁབ་གསང་ཆ་ཤས་ཤིག་མཐོང་བྱུང་། རྗེས་ལ་ང་ཚོས་ཀྲང་གཡིང་གི་དོག་ྡོང་ཚོགས་པ་མེད་པ་བཟོས་པ་རེད།
STT_MV0709_0241_2116906_to_2123558,ལོད་ལོད། པ་ཕ་དང་ཨ་མ་དུས་རྒྱུན་ལས་ཀ་མང་དག་ཆོད་བྱས།  ,lod lod/_pa pha dang a ma dus rgyun las ka mang dag chod byas/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0709_0241_2116906_to_2123558.wav,STT_MV,3,51,6.652,wav16k/STT_MV0709_0241_2116906_to_2123558.wav,ལོད་ལོད། པ་ཕ་དང་ཨ་མར་དུས་རྒྱུན་ལས་ཀ་མང་ཐག་ཆོད་བྱས།
STT_MV0496_0316_2441648_to_2446824,ང་ཚོའི་ཚོང་ལ། སྐྱོན་བརྒྱབ་མི་ཡོང་ངེ་བསམ། ཞེད་ཀིས་རྒྱལ་སྲས་མཆོག ,nga tsho'i tshong la/_skyon brgyab mi yong nge bsam/_zhed kis rgyal sras mchog_,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0496_0316_2441648_to_2446824.wav,STT_MV,3,63,5.176,wav16k/STT_MV0496_0316_2441648_to_2446824.wav,ང་ཚོས་ཚོང་ལ་སྐྱོན་བརྒྱབ་མི་ཡོང་ངེ་བསམ། ཞེད་ཀིས་རྒྱལ་སྲས་མཆོག
STT_MV0092_0339_2407065_to_2408717,བསམ་ཡུལ་ལས་འདས་སོང་།  ,bsam yul las 'das song /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0092_0339_2407065_to_2408717.wav,STT_MV,3,22,1.652,wav16k/STT_MV0092_0339_2407065_to_2408717.wav,བསམ་ཡུལ་ལས་འདས་སོང་།
STT_MV0496_0318_2454242_to_2458535,བྱས་ན་ཁྱེད་ཚོས་འདི་རྒྱལ་པོ་གཟུགས་ཅན་སྙིང་པོར་སྙན་གསང་ཞུས་ཤོག ང་ཚོས་ཞུས་པ་ཡིན།  ,byas na khyed tshos 'di rgyal po gzugs can snying por snyan gsang zhus shog_nga tshos zhus pa yin/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0496_0318_2454242_to_2458535.wav,STT_MV,3,79,4.293,wav16k/STT_MV0496_0318_2454242_to_2458535.wav,བྱས་ན་ཁྱེད་ཚོས་འདི་རྒྱལ་པོ་གཟུགས་ཅན་སྙིང་པོར་སྙན་སེང་ཞུས་ཤོག ང་ཚོས་ཞུས་པ་ཡིན།
